date,areaType,areaCode,areaName,age,cases
14/12/2020,nation,E92000001,England,70+,2454
13/12/2020,nation,E92000001,England,70+,1512
12/12/2020,nation,E92000001,England,70+,1290
11/12/2020,nation,E92000001,England,70+,1865
10/12/2020,nation,E92000001,England,70+,1663
09/12/2020,nation,E92000001,England,70+,1633
08/12/2020,nation,E92000001,England,70+,1725
07/12/2020,nation,E92000001,England,70+,1705
06/12/2020,nation,E92000001,England,70+,1041
05/12/2020,nation,E92000001,England,70+,966
04/12/2020,nation,E92000001,England,70+,1423
03/12/2020,nation,E92000001,England,70+,1315
02/12/2020,nation,E92000001,England,70+,1386
01/12/2020,nation,E92000001,England,70+,1635
30/11/2020,nation,E92000001,England,70+,1756
29/11/2020,nation,E92000001,England,70+,885
28/11/2020,nation,E92000001,England,70+,859
27/11/2020,nation,E92000001,England,70+,1399
26/11/2020,nation,E92000001,England,70+,1296
25/11/2020,nation,E92000001,England,70+,1453
24/11/2020,nation,E92000001,England,70+,1705
23/11/2020,nation,E92000001,England,70+,1697
22/11/2020,nation,E92000001,England,70+,972
21/11/2020,nation,E92000001,England,70+,1123
20/11/2020,nation,E92000001,England,70+,1594
19/11/2020,nation,E92000001,England,70+,1603
18/11/2020,nation,E92000001,England,70+,1809
17/11/2020,nation,E92000001,England,70+,2111
16/11/2020,nation,E92000001,England,70+,2366
15/11/2020,nation,E92000001,England,70+,1370
14/11/2020,nation,E92000001,England,70+,1413
13/11/2020,nation,E92000001,England,70+,2229
12/11/2020,nation,E92000001,England,70+,2087
11/11/2020,nation,E92000001,England,70+,2352
10/11/2020,nation,E92000001,England,70+,2509
09/11/2020,nation,E92000001,England,70+,2600
08/11/2020,nation,E92000001,England,70+,1500
07/11/2020,nation,E92000001,England,70+,1399
06/11/2020,nation,E92000001,England,70+,2038
05/11/2020,nation,E92000001,England,70+,1847
04/11/2020,nation,E92000001,England,70+,1985
03/11/2020,nation,E92000001,England,70+,2115
02/11/2020,nation,E92000001,England,70+,2713
01/11/2020,nation,E92000001,England,70+,1227
31/10/2020,nation,E92000001,England,70+,1225
30/10/2020,nation,E92000001,England,70+,1907
29/10/2020,nation,E92000001,England,70+,1896
28/10/2020,nation,E92000001,England,70+,1694
27/10/2020,nation,E92000001,England,70+,1731
26/10/2020,nation,E92000001,England,70+,1882
25/10/2020,nation,E92000001,England,70+,1119
24/10/2020,nation,E92000001,England,70+,1231
23/10/2020,nation,E92000001,England,70+,1593
22/10/2020,nation,E92000001,England,70+,1630
21/10/2020,nation,E92000001,England,70+,1668
20/10/2020,nation,E92000001,England,70+,1714
19/10/2020,nation,E92000001,England,70+,1653
18/10/2020,nation,E92000001,England,70+,854
17/10/2020,nation,E92000001,England,70+,995
16/10/2020,nation,E92000001,England,70+,1209
15/10/2020,nation,E92000001,England,70+,1119
14/10/2020,nation,E92000001,England,70+,1190
13/10/2020,nation,E92000001,England,70+,1138
12/10/2020,nation,E92000001,England,70+,1209
11/10/2020,nation,E92000001,England,70+,607
10/10/2020,nation,E92000001,England,70+,596
09/10/2020,nation,E92000001,England,70+,859
08/10/2020,nation,E92000001,England,70+,865
07/10/2020,nation,E92000001,England,70+,925
06/10/2020,nation,E92000001,England,70+,859
05/10/2020,nation,E92000001,England,70+,868
04/10/2020,nation,E92000001,England,70+,478
03/10/2020,nation,E92000001,England,70+,543
02/10/2020,nation,E92000001,England,70+,610
01/10/2020,nation,E92000001,England,70+,597
30/09/2020,nation,E92000001,England,70+,504
29/09/2020,nation,E92000001,England,70+,558
28/09/2020,nation,E92000001,England,70+,473
27/09/2020,nation,E92000001,England,70+,260
26/09/2020,nation,E92000001,England,70+,300
25/09/2020,nation,E92000001,England,70+,317
24/09/2020,nation,E92000001,England,70+,355
23/09/2020,nation,E92000001,England,70+,353
22/09/2020,nation,E92000001,England,70+,358
21/09/2020,nation,E92000001,England,70+,262
20/09/2020,nation,E92000001,England,70+,224
19/09/2020,nation,E92000001,England,70+,200
18/09/2020,nation,E92000001,England,70+,206
17/09/2020,nation,E92000001,England,70+,221
16/09/2020,nation,E92000001,England,70+,250
15/09/2020,nation,E92000001,England,70+,259
14/09/2020,nation,E92000001,England,70+,203
13/09/2020,nation,E92000001,England,70+,133
12/09/2020,nation,E92000001,England,70+,118
11/09/2020,nation,E92000001,England,70+,188
10/09/2020,nation,E92000001,England,70+,205
09/09/2020,nation,E92000001,England,70+,169
08/09/2020,nation,E92000001,England,70+,220
07/09/2020,nation,E92000001,England,70+,269
06/09/2020,nation,E92000001,England,70+,119
05/09/2020,nation,E92000001,England,70+,124
04/09/2020,nation,E92000001,England,70+,175
03/09/2020,nation,E92000001,England,70+,196
02/09/2020,nation,E92000001,England,70+,212
01/09/2020,nation,E92000001,England,70+,140
31/08/2020,nation,E92000001,England,70+,46
30/08/2020,nation,E92000001,England,70+,34
29/08/2020,nation,E92000001,England,70+,51
28/08/2020,nation,E92000001,England,70+,84
27/08/2020,nation,E92000001,England,70+,85
26/08/2020,nation,E92000001,England,70+,68
25/08/2020,nation,E92000001,England,70+,75
