date,areaType,areaCode,areaName,age,cases
23/09/2020,nation,E92000001,England,35_49,1274
22/09/2020,nation,E92000001,England,35_49,1167
21/09/2020,nation,E92000001,England,35_49,1067
20/09/2020,nation,E92000001,England,35_49,1062
19/09/2020,nation,E92000001,England,35_49,946
18/09/2020,nation,E92000001,England,35_49,1007
17/09/2020,nation,E92000001,England,35_49,967
16/09/2020,nation,E92000001,England,35_49,897
15/09/2020,nation,E92000001,England,35_49,724
14/09/2020,nation,E92000001,England,35_49,707
13/09/2020,nation,E92000001,England,35_49,413
12/09/2020,nation,E92000001,England,35_49,507
11/09/2020,nation,E92000001,England,35_49,646
10/09/2020,nation,E92000001,England,35_49,727
09/09/2020,nation,E92000001,England,35_49,619
08/09/2020,nation,E92000001,England,35_49,652
07/09/2020,nation,E92000001,England,35_49,739
06/09/2020,nation,E92000001,England,35_49,457
05/09/2020,nation,E92000001,England,35_49,502
04/09/2020,nation,E92000001,England,35_49,579
03/09/2020,nation,E92000001,England,35_49,592
02/09/2020,nation,E92000001,England,35_49,552
01/09/2020,nation,E92000001,England,35_49,447
31/08/2020,nation,E92000001,England,35_49,292
30/08/2020,nation,E92000001,England,35_49,211
29/08/2020,nation,E92000001,England,35_49,185
28/08/2020,nation,E92000001,England,35_49,276
27/08/2020,nation,E92000001,England,35_49,277
26/08/2020,nation,E92000001,England,35_49,226
25/08/2020,nation,E92000001,England,35_49,216
24/08/2020,nation,E92000001,England,35_49,236
23/08/2020,nation,E92000001,England,35_49,138
22/08/2020,nation,E92000001,England,35_49,141
21/08/2020,nation,E92000001,England,35_49,212
20/08/2020,nation,E92000001,England,35_49,271
19/08/2020,nation,E92000001,England,35_49,242
18/08/2020,nation,E92000001,England,35_49,205
17/08/2020,nation,E92000001,England,35_49,241
16/08/2020,nation,E92000001,England,35_49,120
15/08/2020,nation,E92000001,England,35_49,143
14/08/2020,nation,E92000001,England,35_49,232
13/08/2020,nation,E92000001,England,35_49,231
12/08/2020,nation,E92000001,England,35_49,233
11/08/2020,nation,E92000001,England,35_49,291
10/08/2020,nation,E92000001,England,35_49,307
09/08/2020,nation,E92000001,England,35_49,144
08/08/2020,nation,E92000001,England,35_49,162
07/08/2020,nation,E92000001,England,35_49,189
06/08/2020,nation,E92000001,England,35_49,243
05/08/2020,nation,E92000001,England,35_49,240
04/08/2020,nation,E92000001,England,35_49,208
03/08/2020,nation,E92000001,England,35_49,220
02/08/2020,nation,E92000001,England,35_49,130
01/08/2020,nation,E92000001,England,35_49,129
31/07/2020,nation,E92000001,England,35_49,164
30/07/2020,nation,E92000001,England,35_49,231
29/07/2020,nation,E92000001,England,35_49,262
28/07/2020,nation,E92000001,England,35_49,154
27/07/2020,nation,E92000001,England,35_49,198
26/07/2020,nation,E92000001,England,35_49,127
25/07/2020,nation,E92000001,England,35_49,116
24/07/2020,nation,E92000001,England,35_49,166
23/07/2020,nation,E92000001,England,35_49,168
22/07/2020,nation,E92000001,England,35_49,178
21/07/2020,nation,E92000001,England,35_49,184
20/07/2020,nation,E92000001,England,35_49,194
