areaCode,areaName,areaType,date,newAdmissions
S92000003,Scotland,nation,2021-09-30,88
S92000003,Scotland,nation,2021-09-29,100
S92000003,Scotland,nation,2021-09-28,122
S92000003,Scotland,nation,2021-09-27,115
S92000003,Scotland,nation,2021-09-26,82
S92000003,Scotland,nation,2021-09-25,89
S92000003,Scotland,nation,2021-09-24,110
S92000003,Scotland,nation,2021-09-23,131
S92000003,Scotland,nation,2021-09-22,108
S92000003,Scotland,nation,2021-09-21,123
S92000003,Scotland,nation,2021-09-20,151
S92000003,Scotland,nation,2021-09-19,103
S92000003,Scotland,nation,2021-09-18,115
S92000003,Scotland,nation,2021-09-17,142
S92000003,Scotland,nation,2021-09-16,157
S92000003,Scotland,nation,2021-09-15,172
S92000003,Scotland,nation,2021-09-14,161
S92000003,Scotland,nation,2021-09-13,177
S92000003,Scotland,nation,2021-09-12,141
S92000003,Scotland,nation,2021-09-11,133
S92000003,Scotland,nation,2021-09-10,174
S92000003,Scotland,nation,2021-09-09,167
S92000003,Scotland,nation,2021-09-08,170
S92000003,Scotland,nation,2021-09-07,202
S92000003,Scotland,nation,2021-09-06,158
S92000003,Scotland,nation,2021-09-05,114
S92000003,Scotland,nation,2021-09-04,123
S92000003,Scotland,nation,2021-09-03,154
S92000003,Scotland,nation,2021-09-02,129
S92000003,Scotland,nation,2021-09-01,156
S92000003,Scotland,nation,2021-08-31,133
S92000003,Scotland,nation,2021-08-30,107
S92000003,Scotland,nation,2021-08-29,93
S92000003,Scotland,nation,2021-08-28,103
S92000003,Scotland,nation,2021-08-27,108
S92000003,Scotland,nation,2021-08-26,106
S92000003,Scotland,nation,2021-08-25,107
S92000003,Scotland,nation,2021-08-24,101
S92000003,Scotland,nation,2021-08-23,74
S92000003,Scotland,nation,2021-08-22,56
S92000003,Scotland,nation,2021-08-21,51
S92000003,Scotland,nation,2021-08-20,67
S92000003,Scotland,nation,2021-08-19,63
S92000003,Scotland,nation,2021-08-18,62
S92000003,Scotland,nation,2021-08-17,59
S92000003,Scotland,nation,2021-08-16,32
S92000003,Scotland,nation,2021-08-15,30
S92000003,Scotland,nation,2021-08-14,44
S92000003,Scotland,nation,2021-08-13,41
S92000003,Scotland,nation,2021-08-12,40
S92000003,Scotland,nation,2021-08-11,42
S92000003,Scotland,nation,2021-08-10,71
S92000003,Scotland,nation,2021-08-09,39
S92000003,Scotland,nation,2021-08-08,38
S92000003,Scotland,nation,2021-08-07,41
S92000003,Scotland,nation,2021-08-06,56
S92000003,Scotland,nation,2021-08-05,66
S92000003,Scotland,nation,2021-08-04,38
S92000003,Scotland,nation,2021-08-03,49
S92000003,Scotland,nation,2021-08-02,50
S92000003,Scotland,nation,2021-08-01,37
S92000003,Scotland,nation,2021-07-31,35
S92000003,Scotland,nation,2021-07-30,49
S92000003,Scotland,nation,2021-07-29,43
S92000003,Scotland,nation,2021-07-28,67
S92000003,Scotland,nation,2021-07-27,61
S92000003,Scotland,nation,2021-07-26,56
S92000003,Scotland,nation,2021-07-25,49
S92000003,Scotland,nation,2021-07-24,43
S92000003,Scotland,nation,2021-07-23,63
S92000003,Scotland,nation,2021-07-22,59
S92000003,Scotland,nation,2021-07-21,74
S92000003,Scotland,nation,2021-07-20,65
S92000003,Scotland,nation,2021-07-19,78
S92000003,Scotland,nation,2021-07-18,67
S92000003,Scotland,nation,2021-07-17,50
S92000003,Scotland,nation,2021-07-16,67
S92000003,Scotland,nation,2021-07-15,80
S92000003,Scotland,nation,2021-07-14,78
S92000003,Scotland,nation,2021-07-13,103
S92000003,Scotland,nation,2021-07-12,101
S92000003,Scotland,nation,2021-07-11,73
S92000003,Scotland,nation,2021-07-10,84
S92000003,Scotland,nation,2021-07-09,81
S92000003,Scotland,nation,2021-07-08,100
S92000003,Scotland,nation,2021-07-07,91
S92000003,Scotland,nation,2021-07-06,104
S92000003,Scotland,nation,2021-07-05,86
S92000003,Scotland,nation,2021-07-04,71
S92000003,Scotland,nation,2021-07-03,59
S92000003,Scotland,nation,2021-07-02,67
S92000003,Scotland,nation,2021-07-01,63
