Date,Infectins
2020-08-09,3154.9171546960133
2020-08-10,3130.2989405206627
2020-08-11,3298.791204943158
2020-08-12,3531.715344586594
2020-08-13,3611.2608331977035
2020-08-14,3556.243933683128
2020-08-15,3446.66504674272
2020-08-16,3323.256055580743
2020-08-17,3329.0153840007
2020-08-18,3545.337354378016
2020-08-19,3831.5111747421197
2020-08-20,4035.94105519421
2020-08-21,4181.554571249286
2020-08-22,4248.3823109939485
2020-08-23,4346.090744739833
2020-08-24,4605.315913696275
2020-08-25,5147.055491409059
2020-08-26,5871.326947435273
2020-08-27,6494.64718286675
2020-08-28,6793.063285831834
2020-08-29,6776.207115479291
2020-08-30,6676.240572616962
2020-08-31,6704.201457350197
2020-09-01,6871.216185320734
2020-09-02,7409.6153865305305
2020-09-03,7664.22735209223
2020-09-04,7750.87035286735
2020-09-05,7903.069356665095
2020-09-06,8177.460043598956
2020-09-07,8572.376748513632
2020-09-08,9573.678677527305
2020-09-09,11030.801499458372
2020-09-10,12493.437652114808
2020-09-11,13784.268299861107
2020-09-12,14979.069438634286
2020-09-13,16156.24153340742
2020-09-14,17473.988823241354
2020-09-15,19021.93649079104
2020-09-16,19468.60082813734
2020-09-17,19892.498009516738
2020-09-18,20211.780480141588
2020-09-19,20491.375212116458
2020-09-20,21053.421223994512
2020-09-21,23580.578812432705
2020-09-22,26956.173642515652
2020-09-23,30658.978667744064
2020-09-24,33987.236300344615
2020-09-25,36786.57569489607
2020-09-26,39156.06898272757
2020-09-27,41420.25003772236
2020-09-28,43207.46430686928
2020-09-29,45943.92334289366
2020-09-30,48505.66286279234
2020-10-01,49274.33799863546
2020-10-02,48313.97342497275
2020-10-03,46718.40950974067
2020-10-04,45695.05814371091
2020-10-05,47064.660748083865
2020-10-06,50651.98669486128
2020-10-07,54449.954532568525
2020-10-08,56217.78895249459
2020-10-09,56463.65576671843
2020-10-10,57002.28003457489
2020-10-11,58977.92142065849
2020-10-12,63271.46327923077
2020-10-13,69594.18509985598
2020-10-14,74928.43999695311
2020-10-15,75989.40427550202
2020-10-16,73687.2940331841
2020-10-17,71198.26638536525
2020-10-18,70319.72794667225
2020-10-19,72520.33992473097
2020-10-20,76487.75287019649
2020-10-21,80185.85990032287
2020-10-22,80262.42135132459
2020-10-23,78134.18516577304
2020-10-24,76527.15418888789
2020-10-25,76189.11237779437
2020-10-26,78299.31398306723
2020-10-27,82971.66299399774
2020-10-28,86711.93943564311
2020-10-29,85718.13854529624
2020-10-30,82914.21444898508
2020-10-31,82109.06895279238
2020-11-01,82853.46546822264
2020-11-02,85312.79594044139
2020-11-03,89084.02322002541
2020-11-04,90997.74693519957
2020-11-05,88090.37545197908
2020-11-06,82472.5710568689
2020-11-07,77067.12111391842
2020-11-08,72708.34345442994
2020-11-09,70355.78441136565
2020-11-10,70027.96133924645
2020-11-11,70471.68926675344
2020-11-12,67082.93721404742
2020-11-13,61480.56475972844
2020-11-14,57066.326079704704
2020-11-15,54634.21773942542
2020-11-16,54550.62356453267
2020-11-17,56600.43761673749
2020-11-18,57904.57674933374
2020-11-19,56675.8295179573
2020-11-20,54015.732834048926
2020-11-21,52029.180064383945
2020-11-22,51365.09319603858
2020-11-23,52612.03525829325
2020-11-24,55662.08200635609
2020-11-25,58227.98415053405
2020-11-26,58474.536484615994
2020-11-27,57557.541654094784
2020-11-28,57615.739162456455
2020-11-29,59321.33655129757
2020-11-30,63265.04646000119
2020-12-01,69366.86645409882
2020-12-02,75129.7950956871
2020-12-03,78914.973470756
2020-12-04,81783.20818700094
2020-12-05,85449.96905099614
2020-12-06,90366.77681462889
2020-12-07,97418.0078754526
2020-12-08,106559.86280931522
2020-12-09,111238.96179724051
2020-12-10,111210.09966691636
2020-12-11,108414.98392039567
2020-12-12,105931.99810838664
2020-12-13,104838.1011474668
2020-12-14,106003.06121792068
2020-12-15,112581.85684559394
2020-12-16,116284.41276787999
2020-12-17,113725.0593890204
2020-12-18,110062.53598490532
2020-12-19,112829.16074451999
2020-12-20,124754.41305029989
2020-12-21,143875.1001943393
2020-12-22,160249.97376215536
2020-12-23,168727.20425565718
