Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
365,803,0.9496981891348097,28.08571428571429,8.714285714285703,0.3115224930346744
366,790,0.9416498993963791,28.071428571428573,8.428571428571416,0.3144072071003265
367,631,0.9336016096579485,28.057142857142857,8.14285714285713,0.318287027869897
368,614,0.9255533199195178,28.04285714285714,7.857142857142844,0.3224059775832203
369,547,0.9175050301810872,28.028571428571425,7.571428571428559,0.32753300998965795
370,431,0.9094567404426566,28.01428571428571,7.285714285714273,0.3358150614834387
371,455,0.9014084507042259,27.999999999999993,6.999999999999988,0.34408801293284824
372,704,0.9154929577464794,27.92857142857142,6.571428571428559,0.34723106714703666
373,574,0.9295774647887329,27.857142857142847,6.14285714285713,0.35074183056155533
374,632,0.9436619718309864,27.785714285714274,5.714285714285701,0.3545397509317856
375,543,0.9577464788732399,27.7142857142857,5.285714285714272,0.35884676822877914
376,557,0.9718309859154934,27.642857142857128,4.857142857142843,0.3615899260486579
377,400,0.9859154929577469,27.571428571428555,4.428571428571415,0.36758062007365305
378,466,1.0000000000000004,27.499999999999982,3.9999999999999862,0.37674739810351704
379,732,0.9890109890109895,27.88571428571427,4.999999999999986,0.38021215573815936
380,606,0.9780219780219785,28.271428571428554,5.999999999999986,0.3861292068114843
381,611,0.9670329670329676,28.65714285714284,6.999999999999986,0.39209765628357224
382,496,0.9560439560439566,29.042857142857127,7.999999999999986,0.39713183453355616
383,476,0.9450549450549457,29.428571428571413,8.999999999999986,0.4049465818969447
384,398,0.9340659340659347,29.8142857142857,9.999999999999986,0.41437877788763366
385,565,0.9230769230769238,30.199999999999985,10.999999999999986,0.42732342248624333
386,620,0.9340659340659347,30.199999999999985,10.142857142857128,0.4319745562759383
387,531,0.9450549450549457,30.199999999999985,9.28571428571427,0.4362289955387875
388,608,0.9560439560439566,30.199999999999985,8.428571428571413,0.44006146237376004
389,523,0.9670329670329676,30.199999999999985,7.571428571428556,0.44391078114275323
390,403,0.9780219780219785,30.199999999999985,6.714285714285699,0.44783087803463306
391,316,0.9890109890109895,30.199999999999985,5.8571428571428426,0.45312878905203996
392,486,1.0000000000000004,30.199999999999985,4.999999999999986,0.4596917747563758
393,364,1.0000000000000004,29.871428571428556,5.571428571428557,0.46346323759019364
394,361,1.0000000000000004,29.542857142857127,6.142857142857128,0.46619914907844356
395,399,1.0000000000000004,29.214285714285698,6.714285714285699,0.46871632246310563
396,314,1.0000000000000004,28.88571428571427,7.2857142857142705,0.47124849406904606
397,219,1.0000000000000004,28.55714285714284,7.857142857142842,0.47364517612546064
398,198,1.0000000000000004,28.22857142857141,8.428571428571413,0.4750472570359774
399,210,1.0000000000000004,27.89999999999998,8.999999999999984,0.4759522058928854
400,219,1.0000000000000004,28.12857142857141,8.857142857142842,0.4761844255436897
401,260,1.0000000000000004,28.357142857142836,8.7142857142857,0.47630424279457645
402,255,1.0000000000000004,28.585714285714264,8.571428571428557,0.47683019165536045
403,244,1.0000000000000004,28.814285714285692,8.428571428571415,0.4776372307756086
404,240,1.0000000000000004,29.04285714285712,8.285714285714272,0.47838343441404224
405,167,1.0000000000000004,29.271428571428547,8.14285714285713,0.47927456468505336
406,162,1.0000000000000004,29.499999999999975,7.999999999999987,0.480466670497673
407,213,1.0000000000000004,29.28571428571426,6.857142857142843,0.4812236593738799
408,211,1.0000000000000004,29.071428571428545,5.714285714285701,0.48166467448719985
409,184,1.0000000000000004,28.85714285714283,4.571428571428559,0.48222196794526223
410,181,1.0000000000000004,28.642857142857114,3.428571428571416,0.48339199772431485
411,167,1.0000000000000004,28.4285714285714,2.285714285714273,0.48475194879978
412,141,1.0000000000000004,28.214285714285683,1.1428571428571304,0.48659268555285384
413,233,1.0000000000000004,27.999999999999968,-1.2434497875801753e-14,0.4887445090079485
414,208,1.0000000000000004,28.585714285714253,-1.2434497875801753e-14,0.4899654316277435
415,178,1.0000000000000004,29.17142857142854,-1.2434497875801753e-14,0.49080718573207416
416,226,1.0000000000000004,29.757142857142824,-1.2434497875801753e-14,0.4918225147568173
417,176,1.0000000000000004,30.34285714285711,-1.2434497875801753e-14,0.4927864453827976
418,141,1.0000000000000004,30.928571428571395,-1.2434497875801753e-14,0.49414066680069574
419,109,1.0000000000000004,31.51428571428568,-1.2434497875801753e-14,0.49579603227954255
420,166,1.0000000000000004,32.099999999999966,-1.2434497875801753e-14,0.4974018530723688
421,208,1.0000000000000004,31.857142857142822,-1.2434497875801753e-14,0.49816743643492617
422,141,1.0000000000000004,31.61428571428568,-1.2434497875801753e-14,0.4992085489187209
423,192,1.0000000000000004,31.371428571428535,-1.2434497875801753e-14,0.5005533332535675
424,157,1.0000000000000004,31.12857142857139,-1.2434497875801753e-14,0.5022122376385587
425,152,1.0000000000000004,30.885714285714247,-1.2434497875801753e-14,0.5037204857334054
426,84,1.0000000000000004,30.642857142857103,-1.2434497875801753e-14,0.5056380673056133
427,101,1.0000000000000004,30.39999999999996,-1.2434497875801753e-14,0.5079617804877186
428,155,1.0000000000000004,30.285714285714246,-1.2434497875801753e-14,0.5094427284494518
429,177,1.0000000000000004,30.17142857142853,-1.2434497875801753e-14,0.5103353753945249
430,175,1.0000000000000004,30.057142857142818,-1.2434497875801753e-14,0.5118095825826499
431,134,1.0000000000000004,29.942857142857104,-1.2434497875801753e-14,0.5136740805626928
432,97,1.0000000000000004,29.82857142857139,-1.2434497875801753e-14,0.5152025509783643
433,94,1.0000000000000004,29.714285714285676,-1.2434497875801753e-14,0.5167439973832317
434,150,1.0000000000000004,29.599999999999962,-1.2434497875801753e-14,0.5187062365805943
435,162,1.0000000000000004,28.914285714285676,4.714285714285702,0.5196324188743683
436,126,1.0000000000000004,28.22857142857139,9.428571428571416,0.5204967545702867
437,135,1.0000000000000004,27.542857142857102,14.142857142857132,0.5215692116513597
438,134,1.0000000000000004,26.857142857142815,18.857142857142847,0.5235103859311966
439,105,1.0000000000000004,26.171428571428528,23.571428571428562,0.5256416500267862
440,100,1.0000000000000004,25.48571428571424,28.285714285714278,0.5291524134413048
441,96,1.0000000000000004,24.799999999999955,32.99999999999999,0.5330945863667517
442,180,1.0000000000000004,25.799999999999955,28.285714285714278,0.5347123720327325
443,160,1.0000000000000004,26.799999999999955,23.571428571428562,0.5357861772685273
444,150,1.0000000000000004,27.799999999999955,18.857142857142847,0.537791725936323
445,130,1.0000000000000004,28.799999999999955,14.142857142857132,0.5415291478634191
446,131,1.0000000000000004,29.799999999999955,9.428571428571416,0.5455855769015259
447,97,1.0000000000000004,30.799999999999955,4.714285714285702,0.5487314959444978
448,122,1.0000000000000004,31.799999999999955,-1.2434497875801753e-14,0.5510206626618607
449,200,0.9036544850498344,31.742857142857098,4.142857142857131,0.5524407751417796
450,221,0.8073089700996683,31.68571428571424,8.285714285714274,0.5537351721939044
451,222,0.7109634551495022,31.628571428571384,12.428571428571416,0.5559324958708549
452,169,0.6146179401993361,31.571428571428527,16.57142857142856,0.5592310934360537
453,229,0.51827242524917,31.51428571428567,20.7142857142857,0.5630445175855829
454,189,0.421926910299004,31.457142857142813,24.857142857142843,0.5654504682057089
455,190,0.3255813953488379,31.399999999999956,28.999999999999986,0.568164472179732
456,246,0.32610809496799353,30.528571428571386,26.142857142857128,0.5696481164509085
457,330,0.32663479458714917,29.657142857142816,23.28571428571427,0.5705805339602702
458,390,0.3271614942063048,28.785714285714246,20.428571428571413,0.5713948194121472
