Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
286,2286,0.15080837529817115,23.528571428571443,0.8571428571428604,0.0
287,2734,0.13265306122448972,23.200000000000014,3.3306690738754696e-15,0.0
288,3538,0.1364298966339782,23.228571428571442,0.8571428571428604,0.0
289,3182,0.14020673204346668,23.25714285714287,1.7142857142857175,0.0
290,3139,0.14398356745295515,23.2857142857143,2.5714285714285747,0.0
291,2776,0.14776040286244363,23.314285714285727,3.428571428571432,0.0
292,2537,0.1515372382719321,23.342857142857156,4.285714285714289,0.0
293,2170,0.15531407368142058,23.371428571428584,5.142857142857146,0.0
294,2209,0.15909090909090906,23.400000000000013,6.000000000000003,0.0
295,2743,0.16772252138105795,23.771428571428583,5.142857142857146,0.0
296,2705,0.17635413367120684,24.142857142857153,4.285714285714289,0.0
297,2443,0.18498574596135572,24.514285714285723,3.428571428571432,0.0
298,1473,0.1936173582515046,24.885714285714293,2.5714285714285747,0.0
299,642,0.2022489705416535,25.257142857142863,1.7142857142857175,0.0
300,1893,0.2108805828318024,25.628571428571433,0.8571428571428604,0.0
301,2495,0.21951219512195128,26.000000000000004,3.3306690738754696e-15,0.0
302,2356,0.26591099545715174,26.242857142857147,0.5714285714285747,0.0
303,3563,0.3123097957923522,26.48571428571429,1.1428571428571461,0.0
304,2698,0.3587085961275526,26.728571428571435,1.7142857142857175,0.0
305,2009,0.40510739646275307,26.97142857142858,2.285714285714289,0.0
306,1214,0.4515061967979535,27.214285714285722,2.8571428571428603,0.0
307,2093,0.49790499713315395,27.457142857142866,3.4285714285714315,0.0
308,1810,0.5443037974683544,27.70000000000001,4.000000000000003,0.0
309,2656,0.5527994813879695,28.014285714285723,6.428571428571431,0.0
310,2384,0.5612951653075846,28.328571428571436,8.85714285714286,0.0
311,1991,0.5697908492271997,28.64285714285715,11.285714285714288,0.0
312,1665,0.5782865331468148,28.957142857142863,13.714285714285717,0.0
313,1596,0.5867822170664299,29.271428571428576,16.142857142857146,0.0
314,1142,0.5952779009860449,29.58571428571429,18.571428571428573,0.0
315,1175,0.60377358490566,29.900000000000002,21.0,0.0
316,1736,0.6143725158755536,30.028571428571432,21.0,0.0
317,1601,0.6249714468454473,30.157142857142862,21.0,0.0016492862555144044
318,1463,0.6355703778153409,30.285714285714292,21.0,0.004862857090297471
319,1312,0.6461693087852345,30.41428571428572,21.0,0.00854266846269711
320,1212,0.6567682397551281,30.54285714285715,21.0,0.012793386615851735
321,1005,0.6673671707250217,30.67142857142858,21.0,0.02083746315668949
322,825,0.6779661016949153,30.80000000000001,21.0,0.02407101572879898
323,1397,0.6714928101991402,31.02857142857144,22.285714285714285,0.02847461003102244
324,1081,0.6650195187033651,31.257142857142867,23.57142857142857,0.03311132460205419
325,970,0.6585462272075899,31.485714285714295,24.857142857142854,0.0400516480334323
326,909,0.6520729357118148,31.714285714285722,26.14285714285714,0.049005369378273
327,770,0.6455996442160397,31.94285714285715,27.428571428571423,0.05661460525443571
328,541,0.6391263527202645,32.17142857142858,28.714285714285708,0.058611193134909395
329,396,0.6326530612244894,32.400000000000006,29.999999999999993,0.06455274687040004
330,846,0.6523443100893749,32.157142857142865,26.714285714285708,0.07176488536350428
331,731,0.6720355589542604,31.91428571428572,23.428571428571423,0.07930275789207261
332,703,0.6917268078191459,31.671428571428578,20.14285714285714,0.08760691418858764
333,658,0.7114180566840314,31.428571428571434,16.857142857142854,0.09266483109564307
334,598,0.7311093055489168,31.18571428571429,13.57142857142857,0.10067750776353929
335,486,0.7508005544138023,30.942857142857147,10.285714285714285,0.10475092764422612
336,461,0.7704918032786878,30.700000000000003,6.999999999999999,0.11215178254541326
337,612,0.7629425540708079,30.142857142857146,6.7142857142857135,0.11940134714970033
338,597,0.755393304862928,29.58571428571429,6.428571428571428,0.12830527273644185
339,579,0.7478440556550481,29.028571428571432,6.142857142857142,0.13860443106126177
340,501,0.7402948064471682,28.471428571428575,5.857142857142857,0.1493739531393371
341,501,0.7327455572392882,27.914285714285718,5.571428571428571,0.1597216385405212
342,359,0.7251963080314083,27.35714285714286,5.285714285714286,0.16427430294660847
343,284,0.7176470588235284,26.800000000000004,5.0,0.17213505497673715
344,492,0.7234209812957432,27.48571428571429,5.571428571428571,0.18059050157015225
345,464,0.7291949037679579,28.171428571428578,6.142857142857142,0.18968631526931418
346,448,0.7349688262401727,28.857142857142865,6.7142857142857135,0.19978724207303863
347,377,0.7407427487123874,29.54285714285715,7.285714285714285,0.21041276877419018
348,408,0.7465166711846022,30.22857142857144,7.857142857142856,0.2174558554261042
349,281,0.7522905936568169,30.914285714285725,8.428571428571427,0.22162918399342316
350,288,0.7580645161290317,31.600000000000012,8.999999999999998,0.22515548487588646
351,452,0.7753107107945811,31.12857142857144,7.714285714285713,0.22877883991107809
352,442,0.7925569054601306,30.65714285714287,6.428571428571427,0.23362583847968793
353,373,0.80980310012568,30.185714285714297,5.1428571428571415,0.23883758304711344
354,343,0.8270492947912295,29.714285714285726,3.857142857142856,0.2435440751135708
355,309,0.8442954894567789,29.242857142857154,2.5714285714285703,0.24550387122372916
