Date,cases,all_cases,SGTF_proportion,LFD_proportion
2021-06-01,3373,4515,0.32625482625482805,0.07375415282392027
2021-06-02,3739,5039,0.32046332046332227,0.06648144473109743
2021-06-03,3809,5129,0.3146718146718165,0.07935270033144863
2021-06-04,3693,4885,0.3088803088803107,0.06489252814738997
2021-06-05,2955,3964,0.3030888030888049,0.07063572149344097
2021-06-06,3060,4729,0.29729729729729915,0.11418904631000211
2021-06-07,5087,6790,0.28033645890788933,0.07584683357879234
2021-06-08,5058,6630,0.2633756205184795,0.06063348416289593
2021-06-09,5151,6919,0.2464147821290697,0.07544442838560486
2021-06-10,5059,6717,0.22945394373965988,0.07890427274080691
2021-06-11,4973,6510,0.21249310535025007,0.06651305683563748
2021-06-12,3984,5422,0.19553226696084025,0.06030984876429362
2021-06-13,3919,6075,0.17857142857143044,0.09234567901234568
2021-06-14,6387,8941,0.1648259303721507,0.07046191701151996
2021-06-15,6991,9149,0.15108043217287098,0.05432287681713849
2021-06-16,6896,9410,0.13733493397359126,0.07088204038257173
2021-06-17,7056,9523,0.12358943577431154,0.07424131051139347
2021-06-18,6631,8772,0.10984393757503183,0.0648654810761514
2021-06-19,5263,7125,0.09609843937575212,0.06203508771929825
2021-06-20,5337,8203,0.0823529411764724,0.07850786297695965
2021-06-21,9540,12706,0.07889388313465102,0.06028647882889973
2021-06-22,10251,13564,0.07543482509282964,0.050796225302270716
2021-06-23,11048,14805,0.07197576705100826,0.05626477541371158
2021-06-24,11451,15082,0.06851670900918688,0.059673783317862356
2021-06-25,11374,14901,0.0650576509673655,0.054694315817730356
2021-06-26,9941,13485,0.06159859292554412,0.05124212087504635
2021-06-27,10082,15407,0.05813953488372274,0.06867008502628676
2021-06-28,17739,23511,0.060703452260582484,0.05299646973756965
2021-06-29,18066,23250,0.06326736963744223,0.04464516129032258
2021-06-30,18149,23940,0.06583128701430196,0.04862155388471178
2021-07-01,18827,24267,0.0683952043911617,0.0555486875180286
2021-07-02,17353,22288,0.07095912176802144,0.0467964824120603
2021-07-03,15578,20635,0.07352303914488117,0.04933365640901381
2021-07-04,14677,21791,0.07608695652174091,0.06392547381946675
2021-07-05,22793,30193,0.07777626100607646,0.051535124035372436
2021-07-06,24717,31607,0.079465565490412,0.04188945486759262
2021-07-07,27234,34270,0.08115486997474755,0.04356580099212139
2021-07-08,23527,29908,0.0828441744590831,0.04928447238197138
2021-07-09,23228,29045,0.08453347894341864,0.041831640557755206
2021-07-10,19497,25405,0.08622278342775419,0.04203896870694745
2021-07-11,19514,27417,0.08791208791208974,0.050880840354524566
2021-07-12,30184,40471,0.08170242455956925,0.04914630229052902
2021-07-13,32983,43244,0.07549276120704876,0.04451484599019517
2021-07-14,38480,50319,0.06928309785452827,0.044297382698384305
2021-07-15,45388,57579,0.06307343450200778,0.04418277497004116
2021-07-16,41464,51136,0.056863771149487284,0.03668648310387985
2021-07-17,27503,35278,0.05065410779696679,0.04399342366347299
2021-07-18,23744,33162,0.04444444444444629,0.055696278873409326
2021-07-19,34145,43388,0.05154061624650045,0.04540425924218678
2021-07-20,28516,35940,0.05863678804855461,0.04170840289371174
2021-07-21,25031,31663,0.06573295985060876,0.04614218488456558
2021-07-22,22153,27707,0.07282913165266292,0.05099794275814776
2021-07-23,19641,24533,0.07992530345471707,0.047853911058574165
2021-07-24,15875,20273,0.08702147525677123,0.049376017362995114
2021-07-25,14655,19642,0.09411764705882539,0.058191630180226044
2021-07-26,20965,26537,0.09063904631620276,0.052040547160568267
2021-07-27,20529,26019,0.08716044557358013,0.04562050809024175
2021-07-28,21280,26925,0.0836818448309575,0.044531104921077064
2021-07-29,20193,25359,0.08020324408833487,0.05083008005047518
2021-07-30,17625,22104,0.07672464334571225,0.0492671009771987
2021-07-31,14528,18448,0.07324604260308962,0.05095403295750217
2021-08-01,13909,18628,0.06976744186046699,0.05529310715052609
2021-08-02,21196,26574,0.07222302470027632,0.04718898171144728
2021-08-03,21586,27034,0.07467860754008565,0.04231708219279426
2021-08-04,22986,28894,0.07713419037989498,0.04513047691562262
2021-08-05,22500,28126,0.07958977321970431,0.046896110360520514
2021-08-06,19996,24874,0.08204535605951364,0.045147543619844015
2021-08-07,15685,19983,0.08450093889932297,0.04779062202872442
2021-08-08,15208,20155,0.0869565217391323,0.04887124782932275
2021-08-09,22630,28287,0.08577011654686488,0.043624279704457876
2021-08-10,22196,27607,0.08458371135459745,0.041185206650487194
2021-08-11,23215,29132,0.08339730616233003,0.04160373472470136
2021-08-12,22192,27686,0.0822109009700626,0.04478797948421585
2021-08-13,20217,24988,0.08102449577779518,0.04226028493676965
2021-08-14,16886,21336,0.07983809058552775,0.0441976002999625
2021-08-15,16265,21275,0.07865168539326033,0.04719153936545241
2021-08-16,24913,30849,0.07852684144819166,0.03996888067684528
2021-08-17,25397,31084,0.078401997503123,0.03673915840947111
2021-08-18,25552,31422,0.07827715355805434,0.037075934058939594
2021-08-19,23628,29065,0.07815230961298568,0.04145879924307586
2021-08-20,20588,25548,0.07802746566791702,0.04160795365586347
2021-08-21,18233,22585,0.07790262172284836,0.038166924950188176
2021-08-22,17395,22395,0.0777777777777797,0.04125920964501004
2021-08-23,24751,30327,0.07142857142857334,0.0360075180532199
2021-08-24,23049,28201,0.06507936507936699,0.03280025531009539
2021-08-25,22556,27893,0.05873015873016064,0.038253325207041194
2021-08-26,21515,26478,0.05238095238095429,0.04365888662285671
2021-08-27,19745,24243,0.04603174603174794,0.047642618487810914
2021-08-28,16063,20131,0.039682539682541595,0.045005215836272414
2021-08-29,14846,19148,0.03333333333333525,0.04449550866931272
2021-08-30,19560,24954,0.03317972350230606,0.03919211348881943
2021-08-31,27184,33559,0.03302611367127687,0.037396823504872015
2021-09-01,25494,31583,0.03287250384024768,0.03672861982712219
2021-09-02,24549,30618,0.03271889400921849,0.042785289698869945
2021-09-03,23258,28723,0.032565284178189303,0.039689447481112694
2021-09-04,19036,23403,0.032411674347160115,0.03687561423749092
2021-09-05,17801,23453,0.032258064516130926,0.04583635355818019
2021-09-06,26568,33121,0.032209040101972675,0.03804232963980556
2021-09-07,22248,27929,0.032160015687814424,0.04020910165061406
2021-09-08,20344,25649,0.03211099127365617,0.041405123006744905
2021-09-09,19433,24431,0.03206196685949792,0.04662109614833613
2021-09-10,16948,21019,0.03201294244533967,0.043151434416480325
2021-09-11,13445,16954,0.03196391803118142,0.03999056269906807
2021-09-12,12555,17872,0.03191489361702317,0.0538272157564906
2021-09-13,20233,25192,0.030301131200453118,0.0387027627818355
2021-09-14,18235,22623,0.028687368783883067,0.03713035406444769
2021-09-15,17685,22379,0.027073606367313017,0.041244023414808526
2021-09-16,17532,22157,0.025459843950742966,0.044139549578011465
2021-09-17,17941,22360,0.023846081534172916,0.03483899821109124
2021-09-18,16246,20920,0.022232319117602865,0.03369980879541109
2021-09-19,16620,24789,0.020618556701032815,0.04828754689580056
2021-09-20,25335,32109,0.019130774548407406,0.03628266218194276
2021-09-21,24742,30535,0.017642992395781997,0.03441951858523006
2021-09-22,22386,28781,0.01615521024315659,0.03877558111253952
2021-09-23,22701,28327,0.01466742809053118,0.03639637095350726
2021-09-24,20822,25742,0.01317964593790577,0.03371921373630642
2021-09-25,18209,23382,0.011691863785280362,0.033444529980326744
2021-09-26,18211,26795,0.010204081632654953,0.04351558126516141
2021-09-27,27550,34585,0.010204081632654953,0.032239410148908486
2021-09-28,24001,29620,0.010204081632654953,0.028528021607022284
2021-09-29,22381,28671,0.010204081632654953,0.035262111541278646
2021-09-30,21479,26792,0.010204081632654953,0.03456255598686175
2021-10-01,19581,24127,0.010204081632654953,0.028723007419074065
2021-10-02,17113,21866,0.010204081632654953,0.027394127869752125
2021-10-03,18631,27130,0.010204081632654953,0.03634353114633247
2021-10-04,29303,36469,0.010219109735206724,0.026652773588527242
2021-10-05,26310,32254,0.010234137837758495,0.025392199417126556
2021-10-06,25644,32539,0.010249165940310266,0.028734749070346354
2021-10-07,26006,32156,0.010264194042862038,0.03075631297425053
2021-10-08,24398,29835,0.010279222145413809,0.028054298642533938
2021-10-09,21611,27171,0.01029425024796558,0.02690368407493283
2021-10-10,21849,31490,0.010309278350517351,0.03686884725309622
2021-10-11,34488,43099,0.011751976195487446,0.026589944082229287
2021-10-12,33064,40876,0.013194674040457542,0.02341227125941873
2021-10-13,32009,40543,0.014637371885427637,0.025035147867696027
2021-10-14,31620,39259,0.01608006973039773,0.028783208945719452
2021-10-15,29899,36623,0.017522767575367824,0.023974005406438577
2021-10-16,24473,31637,0.018965465420337918,0.028352877959351392
2021-10-17,26227,37496,0.02040816326530801,0.033230211222530406
2021-10-18,39340,49249,0.020438219470411554,0.026335560112895694
2021-10-19,35561,44615,0.020468275675515096,0.02703126751092682
2021-10-20,34279,43959,0.02049833188061864,0.02955026274483041
2021-10-21,30770,38580,0.02052838808572218,0.033462934162778644
2021-10-22,27709,34502,0.020558444290825723,0.029244681467741
2021-10-23,23313,29742,0.020588500495929266,0.03015937058704862
2021-10-24,22373,30087,0.020618556701032808,0.03396815900555057
2021-10-25,31976,39947,0.019116050043886976,0.028087215560617818
2021-10-26,27907,35274,0.017613543386741145,0.028292793558995295
2021-10-27,28580,36519,0.016111036729595313,0.030641583833073194
2021-10-28,27974,35065,0.014608530072449482,0.03211179238556966
2021-10-29,27441,33993,0.01310602341530365,0.026740799576383374
2021-10-30,22479,28234,0.011603516758157819,0.026953318693773466
2021-10-31,21242,29556,0.010101010101011988,0.03840167817025308
2021-11-01,30473,37657,0.010130762708084181,0.028945481583769285
2021-11-02,25670,31321,0.010160515315156375,0.028798569649755756
2021-11-03,23650,29391,0.010190267922228569,0.03116600319825797
2021-11-04,22223,27367,0.010220020529300763,0.034347937296744256
2021-11-05,20113,24402,0.010249773136372957,0.028850094254569296
2021-11-06,17986,22578,0.01027952574344515,0.030250686508991053
2021-11-07,18334,25445,0.010309278350517344,0.037885635684810376
2021-11-08,29083,36132,0.016277000490919895,0.03099745378058231
2021-11-09,28049,34675,0.022244722631322447,0.026128334534967556
