areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
N92000002,Northern Ireland,nation,2021-09-08,1187
N92000002,Northern Ireland,nation,2021-09-07,872
N92000002,Northern Ireland,nation,2021-09-06,893
N92000002,Northern Ireland,nation,2021-09-05,934
N92000002,Northern Ireland,nation,2021-09-04,950
N92000002,Northern Ireland,nation,2021-09-03,1378
N92000002,Northern Ireland,nation,2021-09-02,1049
N92000002,Northern Ireland,nation,2021-09-01,1608
N92000002,Northern Ireland,nation,2021-08-31,1582
N92000002,Northern Ireland,nation,2021-08-30,1344
N92000002,Northern Ireland,nation,2021-08-29,689
N92000002,Northern Ireland,nation,2021-08-28,1164
N92000002,Northern Ireland,nation,2021-08-27,2153
N92000002,Northern Ireland,nation,2021-08-26,3539
N92000002,Northern Ireland,nation,2021-08-25,3483
N92000002,Northern Ireland,nation,2021-08-24,2005
N92000002,Northern Ireland,nation,2021-08-23,1893
N92000002,Northern Ireland,nation,2021-08-22,3658
N92000002,Northern Ireland,nation,2021-08-21,4142
N92000002,Northern Ireland,nation,2021-08-20,1733
N92000002,Northern Ireland,nation,2021-08-19,1861
N92000002,Northern Ireland,nation,2021-08-18,1467
N92000002,Northern Ireland,nation,2021-08-17,2566
N92000002,Northern Ireland,nation,2021-08-16,1564
N92000002,Northern Ireland,nation,2021-08-15,1603
N92000002,Northern Ireland,nation,2021-08-14,1162
N92000002,Northern Ireland,nation,2021-08-13,1510
N92000002,Northern Ireland,nation,2021-08-12,2095
N92000002,Northern Ireland,nation,2021-08-11,1687
N92000002,Northern Ireland,nation,2021-08-10,2314
N92000002,Northern Ireland,nation,2021-08-09,7374
N92000002,Northern Ireland,nation,2021-08-08,987
N92000002,Northern Ireland,nation,2021-08-07,1344
N92000002,Northern Ireland,nation,2021-08-06,6431
N92000002,Northern Ireland,nation,2021-08-05,1372
N92000002,Northern Ireland,nation,2021-08-04,1560
N92000002,Northern Ireland,nation,2021-08-03,1313
N92000002,Northern Ireland,nation,2021-08-02,1041
N92000002,Northern Ireland,nation,2021-08-01,657
N92000002,Northern Ireland,nation,2021-07-31,3478
N92000002,Northern Ireland,nation,2021-07-30,3018
N92000002,Northern Ireland,nation,2021-07-29,3091
N92000002,Northern Ireland,nation,2021-07-28,7683
N92000002,Northern Ireland,nation,2021-07-27,2770
N92000002,Northern Ireland,nation,2021-07-26,1697
N92000002,Northern Ireland,nation,2021-07-25,1724
N92000002,Northern Ireland,nation,2021-07-24,1417
N92000002,Northern Ireland,nation,2021-07-23,1673
N92000002,Northern Ireland,nation,2021-07-22,1143
N92000002,Northern Ireland,nation,2021-07-21,2369
N92000002,Northern Ireland,nation,2021-07-20,1664
N92000002,Northern Ireland,nation,2021-07-19,1136
N92000002,Northern Ireland,nation,2021-07-18,0
N92000002,Northern Ireland,nation,2021-07-17,983
N92000002,Northern Ireland,nation,2021-07-16,11185
N92000002,Northern Ireland,nation,2021-07-15,1300
N92000002,Northern Ireland,nation,2021-07-14,1117
N92000002,Northern Ireland,nation,2021-07-13,1151
N92000002,Northern Ireland,nation,2021-07-12,606
N92000002,Northern Ireland,nation,2021-07-11,1204
N92000002,Northern Ireland,nation,2021-07-10,1713
N92000002,Northern Ireland,nation,2021-07-09,1764
N92000002,Northern Ireland,nation,2021-07-08,1912
N92000002,Northern Ireland,nation,2021-07-07,1960
N92000002,Northern Ireland,nation,2021-07-06,1985
N92000002,Northern Ireland,nation,2021-07-05,1786
N92000002,Northern Ireland,nation,2021-07-04,1712
N92000002,Northern Ireland,nation,2021-07-03,1097
N92000002,Northern Ireland,nation,2021-07-02,1817
N92000002,Northern Ireland,nation,2021-07-01,1897
N92000002,Northern Ireland,nation,2021-06-30,2050
N92000002,Northern Ireland,nation,2021-06-29,2337
N92000002,Northern Ireland,nation,2021-06-28,2431
N92000002,Northern Ireland,nation,2021-06-27,2533
N92000002,Northern Ireland,nation,2021-06-26,2203
N92000002,Northern Ireland,nation,2021-06-25,2568
N92000002,Northern Ireland,nation,2021-06-24,2518
N92000002,Northern Ireland,nation,2021-06-23,3049
N92000002,Northern Ireland,nation,2021-06-22,3930
N92000002,Northern Ireland,nation,2021-06-21,2385
N92000002,Northern Ireland,nation,2021-06-20,3060
N92000002,Northern Ireland,nation,2021-06-19,2470
N92000002,Northern Ireland,nation,2021-06-18,2762
N92000002,Northern Ireland,nation,2021-06-17,3876
N92000002,Northern Ireland,nation,2021-06-16,1993
N92000002,Northern Ireland,nation,2021-06-15,10930
N92000002,Northern Ireland,nation,2021-06-14,2156
N92000002,Northern Ireland,nation,2021-06-13,0
N92000002,Northern Ireland,nation,2021-06-12,432
N92000002,Northern Ireland,nation,2021-06-11,7392
N92000002,Northern Ireland,nation,2021-06-10,4138
N92000002,Northern Ireland,nation,2021-06-09,3015
N92000002,Northern Ireland,nation,2021-06-08,4136
N92000002,Northern Ireland,nation,2021-06-07,3785
N92000002,Northern Ireland,nation,2021-06-06,3557
N92000002,Northern Ireland,nation,2021-06-05,3858
N92000002,Northern Ireland,nation,2021-06-04,4361
N92000002,Northern Ireland,nation,2021-06-03,5142
N92000002,Northern Ireland,nation,2021-06-02,12225
N92000002,Northern Ireland,nation,2021-06-01,8400
N92000002,Northern Ireland,nation,2021-05-31,4800
N92000002,Northern Ireland,nation,2021-05-30,4203
N92000002,Northern Ireland,nation,2021-05-29,3450
N92000002,Northern Ireland,nation,2021-05-28,2805
N92000002,Northern Ireland,nation,2021-05-27,3749
N92000002,Northern Ireland,nation,2021-05-26,3332
N92000002,Northern Ireland,nation,2021-05-25,4368
N92000002,Northern Ireland,nation,2021-05-24,4418
N92000002,Northern Ireland,nation,2021-05-23,4084
N92000002,Northern Ireland,nation,2021-05-22,3893
N92000002,Northern Ireland,nation,2021-05-21,2212
N92000002,Northern Ireland,nation,2021-05-20,3247
N92000002,Northern Ireland,nation,2021-05-19,4519
N92000002,Northern Ireland,nation,2021-05-18,3142
N92000002,Northern Ireland,nation,2021-05-17,3323
N92000002,Northern Ireland,nation,2021-05-16,1700
N92000002,Northern Ireland,nation,2021-05-15,1152
N92000002,Northern Ireland,nation,2021-05-14,2071
N92000002,Northern Ireland,nation,2021-05-13,3113
N92000002,Northern Ireland,nation,2021-05-12,3561
N92000002,Northern Ireland,nation,2021-05-11,3970
N92000002,Northern Ireland,nation,2021-05-10,5456
N92000002,Northern Ireland,nation,2021-05-09,3985
N92000002,Northern Ireland,nation,2021-05-08,4211
N92000002,Northern Ireland,nation,2021-05-07,5071
N92000002,Northern Ireland,nation,2021-05-06,6252
N92000002,Northern Ireland,nation,2021-05-05,6285
N92000002,Northern Ireland,nation,2021-05-04,6084
N92000002,Northern Ireland,nation,2021-05-03,1672
N92000002,Northern Ireland,nation,2021-05-02,5240
N92000002,Northern Ireland,nation,2021-05-01,5356
N92000002,Northern Ireland,nation,2021-04-30,5100
N92000002,Northern Ireland,nation,2021-04-29,0
N92000002,Northern Ireland,nation,2021-04-28,7933
N92000002,Northern Ireland,nation,2021-04-27,8364
N92000002,Northern Ireland,nation,2021-04-26,6848
N92000002,Northern Ireland,nation,2021-04-25,6708
N92000002,Northern Ireland,nation,2021-04-24,6878
N92000002,Northern Ireland,nation,2021-04-23,6071
N92000002,Northern Ireland,nation,2021-04-22,8974
N92000002,Northern Ireland,nation,2021-04-21,7523
N92000002,Northern Ireland,nation,2021-04-20,6948
N92000002,Northern Ireland,nation,2021-04-19,5630
N92000002,Northern Ireland,nation,2021-04-18,3399
N92000002,Northern Ireland,nation,2021-04-17,4487
N92000002,Northern Ireland,nation,2021-04-16,5723
N92000002,Northern Ireland,nation,2021-04-15,5819
N92000002,Northern Ireland,nation,2021-04-14,6235
N92000002,Northern Ireland,nation,2021-04-13,6154
N92000002,Northern Ireland,nation,2021-04-12,5483
N92000002,Northern Ireland,nation,2021-04-11,6380
N92000002,Northern Ireland,nation,2021-04-10,6564
N92000002,Northern Ireland,nation,2021-04-09,7463
